# Date:             21-56-38 2022-08-29
# MX Version:       1.5.1-d066dirty-windows_10.0_x64 hash: f214dedd Sat May 7 20:31:35 2022
# Computation type: Optimal control solution
# Model name:       Rocciatore
#
# converged            = NO
# num_equations        = 30627
# Lagrange target      = 0.0010444398659758334
# Mayer target         = 1.7060832681558873
# Penalties            = 0
# Control Penalties    = 0.2785906923483591
# max_iter             = 100
# max_step_iter        = 40
# max_accumulated_iter = 1800
# tolerance            = 0.001
# iterations           = 101
# cpu_time             = 3.2344265 s
# solver_type          = CyclicReduction+QRP and LastBlock LUPQ
# lapack version       = Openblas
#
# SOLUTION
i_segment	zeta	lagrange_target	inequality_penalties	penalties	control_penalties	Fr	Fr_cell	theta	phi	psi	l	omega	r	T	Fut	Fun	lambda1__xo	lambda2__xo	lambda3__xo	lambda4__xo	lambda5__xo	lambda6__xo	lambda7__xo	lambda8__xo	lambda9__xo	theta_D	phi_D	psi_D	l_D	omega_D	r_D	T_D	Fut_D	Fun_D	mu0_D	mu1_D	mu2_D	mu3_D	mu4_D	mu5_D	mu6_D	mu7_D	mu8_D	FrControl	T_positive	X_positive	Actuation	FrictionPositive	FrictionNegative	Z_negative	Fun_positive
0	0.00588235294117647051	1.43983516829756485e-07	-0.835733015442286953	0	0.318218691614039262	-7.7208111912116032e-05	-7.72555621120683361e-05	0.0528909360271205276	0.00892679688459607421	0.000425169959252248415	3.03657143693183507	0.000207651238179053108	0.00177720510442332807	1.70459210492089586	0.0203573285574012268	0.312810028334202572	12876.7929876202506	-1190.10833951095037	102.85869585592161	0.751875101185423667	9.45402770085038746	-8848.36051002165732	-36.627143410517256	-969.899863215635378	49.3483811541224426	0.000353960661177062433	0.000724741355790921673	0.148950030416500512	0.00302940978982512137	-0.170125304050306764	16.6986383488274903	0	0	0	-49619.2336832511064	-0	-175.205961694492316	493.93686060662418	-21966.2526295280222	2026.56887291250155	8620.89264742443447	268.004390739863652	3422.79127998309423	0.318218691614039262	-0.413849603345189665	-0.177586982198583709	4.46760721751341762e-06	1.00000593634380921e-07	9.99991908191004033e-08	0	-0.244301097505515513
0	0.00647058823529411773	1.6636511153242715e-07	-0.836397459696649026	0	0.318187300299047127	-7.73031061829958016e-05	-7.7350650253923267e-05	0.0531801939050263739	0.00981979921814452213	0.000520442354324579417	3.04022956718140236	0.000258513941294781415	0.00195460112658468049	1.70459210492174118	0.0203573285580941517	0.312810028334428281	12847.5941880558021	-1189.83388902182037	102.858695855818794	0.922396362011753235	11.6357114266361936	-8861.26845937749567	-36.7302029086347304	-968.707972188753615	54.4443157235494084	0.000440660823343286886	0.000887141928248561494	0.173537200400939784	0.00333179764864738716	-0.150617825200963146	16.69838202899723	0	0	0	-49651.1525505874524	-0	-175.171450165694097	436.904890832569379	-21917.9586480375328	2025.59115734516945	8709.28383866547301	313.126300490688038	4015.47848791935894	0.318187300299047127	-0.413849603345239292	-0.178251435215305287	4.47636973612629552e-06	1.00000696251539595e-07	9.99990509443201509e-08	0	-0.244301097505587678
0	0.00705882352941176495	1.92873005018149985e-07	-0.837058825493351644	0	0.318155885747672895	-7.73982877746076713e-05	-7.74459252952920891e-05	0.0534695077304760819	0.0107129056311383915	0.00063115700805370606	3.04388787656848914	0.000318362449021558581	0.00213193887376022595	1.70459210492205493	0.0203573285584315276	0.312810028334905899	12818.3761027681285	-1189.59529879758179	102.858695855684445	1.12113337788781231	14.1888996156184017	-8874.14797080459903	-36.8332402158874217	-967.516664741913587	59.5964057444543513	0.000542678117105798905	0.00107586525289457319	0.201183580825330222	0.0036340861723880985	-0.128375857595971116	16.6981243189358501	0	0	0	-49684.8864403266562	-0	-175.129879339770554	371.832512702417603	-21869.5769235745829	2024.58436370708614	8812.16894623914959	364.034509352041255	4687.36228807188945	0.318155885747672895	-0.413849603345257666	-0.178912812680929678	4.48803887105301678e-06	1.00000812548685711e-07	9.99988924235248112e-08	0	-0.244301097505740361
0	0.00764705882352941218	2.24490009065408308e-07	-0.837717160481355361	0	0.318124448402442583	-7.74936557543314897e-05	-7.75413862133709039e-05	0.0537588871660976408	0.0116061326707931275	0.00075918119651734227	3.04754636503302923	0.000388347533449555349	0.00230921852682547477	1.70459210492331592	0.0203573285594490817	0.312810028335183454	12789.1376303318848	-1189.39747354125279	102.858695855511854	1.35160860096828617	17.1619707051700026	-8886.99898993572424	-36.9362508920767212	-966.32595890867708	64.8135002116670194	0.000661974139484555377	0.00129409427378969792	0.232081245016335008	0.00393627566936935458	-0.103199644625507639	16.6978652310043572	0	0	0	-49720.5522970285456	-0	-175.080163096372246	298.129498755283691	-21821.0981211186117	2023.54527183886034	8930.64110162415818	421.124678923055228	5444.4507749354525	0.318124448402442583	-0.413849603345331662	-0.17957116306117632	4.50343132426444842e-06	1.00000943558260544e-07	9.99987138497478852e-08	0	-0.244301097505829068
0	0.0082352941176470594	2.62511588945632905e-07	-0.838372513476062786	0	0.318092988753715888	-7.75892090246603109e-05	-7.7637031835949718e-05	0.0540483430779819321	0.0124994988287676443	0.00090648961389504755	3.05120503252055109	0.000469698444830893259	0.0024864402682259301	1.70459210492224433	0.0203573285595458064	0.312810028335542223	12759.8776050603028	-1189.24565383103277	102.858695855294286	1.61756762196939397	20.6067368061307015	-8899.82145670984937	-37.0392298300408029	-965.135874679803351	70.1050721088219291	0.000800644260752996981	0.00154519503903951172	0.266400294248832936	0.00423836645057866761	-0.074904106672435633	16.6976047831250938	0	0	0	-49758.2508495953225	-0	-175.02110712031407	215.248305168072022	-21772.5122212206916	2022.47043978505644	9065.7212585483594	484.756570680320579	6292.36591414431041	0.318092988753715888	-0.413849603345268768	-0.180226536173322238	4.52354886776630255e-06	1.00001090245140036e-07	9.99985139081921683e-08	0	-0.244301097505943782
0	0.00882352941176470576	3.08623054641768628e-07	-0.839024934525100852	0	0.318061507354705397	-7.76849463086520277e-05	-7.77328607813543374e-05	0.0543378876111515127	0.0133930246357830303	0.00107514934176251332	3.0548638789702256	0.000563715695985147233	0.00266360428389205307	1.70459210492226609	0.0203573285600063512	0.312810028335983814	12730.5948078665515	-1189.14538567056502	102.858695855023413	1.92295420109582094	24.5781639363964253	-8912.61530498539832	-37.1421711921856286	-963.946434127708244	75.4811662949290678	0.000960905324797042305	0.0018326910795807515	0.304281845994406719	0.00454035883295952035	-0.0433251436684549476	16.697343000478007	0	0	0	-49798.0620170200127	-0	-174.951408812247223	122.70262059005762	-21723.8085740339302	2021.3562237728961	9218.32460176827772	555.240735535343106	7236.16078835217013	0.318061507354705397	-0.413849603345270045	-0.180878983284237072	4.54961094619542504e-06	1.00001253475099087e-07	9.99982914192207228e-08	0	-0.244301097506084919
0	0.00941176470588235212	3.64988712343390519e-07	-0.839674474946410232	0	0.318030004813790124	-7.77808661294867123e-05	-7.78288714776190872e-05	0.0546275342549705778	0.0142867327493914273	0.00126730058562143423	3.05852290432619167	0.000671761183939619498	0.00284071076610511357	1.70459210492145941	0.0203573285600291559	0.312810028336364565	12701.2879798729591	-1189.102478727159	102.858695854688861	2.27187722808906445	29.1339804423220272	-8925.38046219170974	-37.2450683475807836	-962.7576615169653	80.9523268543770342	0.00114507881053616759	0.00216023057281263886	0.345830729788976998	0.00484225314426816721	-0.00832636481239582005	16.6970799172279492	0	0	0	-49840.0401771652396	-0	-174.86965940230732	20.0871893568964808	-21674.9759751768797	2020.19880569973088	9389.224463376524	632.82446017035943	8280.12312746865064	0.318030004813790124	-0.413849603345222805	-0.181528557187544459	4.58309308432077149e-06	1.00001433980939584e-07	9.99980453845294108e-08	0	-0.244301097506206655
0	0.0100000000000000002	4.34352616316143542e-07	-0.840321187342311648	0	0.317998481808720923	-7.78769668122625161e-05	-7.79250621469059586e-05	0.0549172979007792814	0.0151806480157661138	0.00148513306390201391	3.06218210852969186	0.000795245520704839469	0.00301775991686432585	1.70459210492211022	0.0203573285608698341	0.312810028336869828	12671.9558388111418	-1189.12295262993166	102.858695854281038	2.66856926778245018	34.3341666887040091	-8938.11684903210698	-37.3479138110095761	-961.569583396385383	86.5295026568486776	0.00135556923606814186	0.00253154609548615671	0.391108079560909982	0.00514404972883733373	0.0301939039373384857	16.6968155787133057	0	0	0	-49884.2094306151921	-0	-174.77434860528021	-92.9015286764926458	-21626.0027652290191	2018.99422843081788	9579.01451488806379	717.677305216380205	9427.56928278931628	0.317998481808720923	-0.413849603345260886	-0.182175312263481493	4.62577339151427221e-06	1.00001632327004374e-07	9.9997775035515745e-08	0	-0.244301097506368192
0	0.0105882352941176466	5.20149715439631098e-07	-0.840965125567277427	0	0.317966939079636024	-7.79732464736100563e-05	-7.80214308003141676e-05	0.0552071948821356781	0.0160747975033886624	0.0017308580526317419	3.06584149152347996	0.000935612482738054771	0.00319475194985960591	1.70459210492114455	0.0203573285613237731	0.312810028336737322	12642.5970981740393	-1189.21297098630907	102.858695853783473	3.11733656422097116	40.2403218393807549	-8950.82437925250269	-37.4506991855225024	-960.382228667940808	92.2239303795982863	0.00159483765134095881	0.00295040697125525421	0.440124042220322198	0.00544574895091211666	0.0722955169095669953	16.6965500436771599	0	0	0	-49930.5590065629949	-0	-174.663872048852909	-216.444396914469962	-21576.8769532988663	2017.7384392153615	9788.07018560701181	809.876635401745034	10680.6337940845569	0.317966939079636024	-0.41384960334520432	-0.182819304505694169	4.67979061806551728e-06	1.00001848872966769e-07	9.99974798826300321e-08	0	-0.244301097506325837
0	0.0111764705882352947	6.26625160325438594e-07	-0.841606344652209071	0	0.317935377433743227	-7.80697030142253395e-05	-7.81179752281364978e-05	0.0554972429993757302	0.0169692105119650175	0.0020066762330890899	3.06950105325080225	0.00109432059024935652	0.00337168709487292067	1.70459210492093605	0.0203573285610363572	0.312810028336982959	12613.2104889885741	-1189.37876311703963	102.858695853183335	3.62250062936757145	46.9149068572027375	-8963.50295949018073	-37.5534151101884746	-959.195628627827205	98.0469948541519329	0.0018653702383914718	0.00342056446405614644	0.492830849415941019	0.0057473512021841873	0.117989522542358574	16.6962833868753755	0	0	0	-49979.0389767348825	-0	-174.536541704825254	-350.578963426180735	-21527.5863653343258	2016.42734118744966	10016.510425516828	909.393599305699922	12040.0606182496558	0.317935377433743227	-0.413849603345192052	-0.183460591518682326	4.74771882617473674e-06	1.00002083737945315e-07	9.99971597642774575e-08	0	-0.244301097506404358
